epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,29618.5,1.29902,3.60034,2.17351,0.58038,0.42547,0.41176,0.19821,2.17321,7.38084,3.92507,0.000165689,0.000165689,0.000165689
84,30046.6,1.29896,3.60257,2.16836,0.59677,0.42047,0.42865,0.20765,2.17248,7.53248,3.93591,0.0001649,0.0001649,0.0001649
85,30474.9,1.29108,3.55964,2.1477,0.59788,0.43155,0.42651,0.20751,2.17454,7.59423,3.94092,0.000164105,0.000164105,0.000164105
86,30905.8,1.2927,3.53927,2.15703,0.61289,0.42923,0.42762,0.21095,2.17774,7.41545,3.96255,0.000163303,0.000163303,0.000163303
87,31332.2,1.28651,3.53339,2.14669,0.57048,0.44847,0.4307,0.21087,2.17518,7.23932,3.97473,0.000162494,0.000162494,0.000162494
88,31759.7,1.28023,3.62222,2.14166,0.52753,0.4481,0.42728,0.20623,2.17454,7.26707,3.97903,0.000161678,0.000161678,0.000161678
89,32190.5,1.28259,3.47263,2.14259,0.52511,0.45502,0.42652,0.20662,2.17063,7.19243,3.98444,0.000160855,0.000160855,0.000160855
90,32622.4,1.27432,3.48325,2.14814,0.56477,0.45157,0.42792,0.20741,2.1651,7.02781,3.98853,0.000160026,0.000160026,0.000160026
91,33055.7,1.2815,3.53843,2.15211,0.5634,0.45176,0.42742,0.2072,2.16499,6.97685,3.99262,0.000159191,0.000159191,0.000159191
92,33484.3,1.27416,3.45916,2.13826,0.55276,0.45257,0.42461,0.20682,2.16685,6.91635,3.98893,0.000158349,0.000158349,0.000158349
93,33913.6,1.25314,3.44893,2.12677,0.52187,0.46214,0.42477,0.20776,2.1629,6.81864,3.98077,0.000157501,0.000157501,0.000157501
94,34340.1,1.26355,3.35568,2.13548,0.53046,0.4517,0.42888,0.20956,2.16281,6.77098,3.98454,0.000156646,0.000156646,0.000156646
95,34770.5,1.25949,3.48714,2.11086,0.53384,0.45055,0.4278,0.21071,2.16582,6.73661,3.98199,0.000155786,0.000155786,0.000155786
96,35200.1,1.25384,3.36192,2.11218,0.5186,0.4632,0.42587,0.2113,2.16699,6.67857,3.99249,0.000154919,0.000154919,0.000154919
97,35631,1.2413,3.42818,2.10707,0.47913,0.45763,0.42406,0.20738,2.16895,6.67153,3.99896,0.000154047,0.000154047,0.000154047
98,36058.2,1.24238,3.31515,2.10147,0.51287,0.45996,0.41614,0.20375,2.16928,6.72365,4.00025,0.000153169,0.000153169,0.000153169
99,36488.8,1.25531,3.32561,2.1198,0.51645,0.45587,0.42012,0.20414,2.16977,6.75283,4.00456,0.000152285,0.000152285,0.000152285
100,36916.9,1.2389,3.26539,2.10615,0.52183,0.46282,0.42035,0.20419,2.1725,6.69424,4.00789,0.000151395,0.000151395,0.000151395
101,37346.4,1.23998,3.26175,2.11622,0.52225,0.46467,0.42105,0.20484,2.17169,6.65984,4.01826,0.0001505,0.0001505,0.0001505
102,37774.4,1.2202,3.25257,2.08348,0.5237,0.46111,0.4242,0.20634,2.16825,6.61289,4.01724,0.000149599,0.000149599,0.000149599
103,38203,1.22568,3.2181,2.07902,0.52486,0.45587,0.42553,0.2082,2.16478,6.60029,4.02442,0.000148694,0.000148694,0.000148694
104,38630.9,1.22359,3.20169,2.08158,0.4835,0.47198,0.42613,0.20849,2.16132,6.58764,4.02071,0.000147783,0.000147783,0.000147783
105,39059.4,1.22777,3.20977,2.07762,0.50913,0.45545,0.42989,0.20838,2.16645,6.57879,4.03462,0.000146866,0.000146866,0.000146866
106,39490.8,1.20128,3.18567,2.05673,0.5003,0.47535,0.43719,0.2097,2.16037,6.61548,4.03612,0.000145945,0.000145945,0.000145945
107,39918.4,1.21143,3.19597,2.06454,0.53426,0.4649,0.43839,0.20989,2.15934,6.54041,4.04458,0.000145019,0.000145019,0.000145019
108,40346.2,1.2097,3.17107,2.06168,0.52885,0.47302,0.44655,0.21166,2.1576,6.51697,4.04614,0.000144088,0.000144088,0.000144088
109,40774.1,1.21266,3.16465,2.06567,0.50854,0.49038,0.43977,0.20852,2.15533,6.49063,4.04486,0.000143152,0.000143152,0.000143152
110,41160.8,1.21412,3.12941,2.08068,0.53261,0.4612,0.44116,0.2088,2.158,6.46785,4.046,0.000142212,0.000142212,0.000142212
111,41517.6,1.20068,3.18867,2.0654,0.46245,0.47686,0.43535,0.20895,2.15771,6.43024,4.04925,0.000141267,0.000141267,0.000141267
112,41875,1.19458,3.06879,2.05055,0.46705,0.48531,0.43885,0.2099,2.15587,6.38846,4.04967,0.000140318,0.000140318,0.000140318
113,42234.8,1.1966,3.10654,2.05165,0.47128,0.48292,0.43873,0.20921,2.15555,6.3922,4.05535,0.000139364,0.000139364,0.000139364
